"","genus","species","GrowthT","Rep","a_root_area","b_root_area","c_root_area","RMSE_root_area","r2_root_area","a_root_mass","b_root_mass","c_root_mass","RMSE_root_mass","r2_root_mass"
"data","Glycine","max","15","6","-0.631266969738621","0.170500325403631","-0.00428722140788306","0.208995102947561","0.934242129557376","-5.60378588730385","0.171708813393426","-0.00431446733434628","0.212793114258846","0.932587382562958"
"data","Glycine","max","20","1","-0.391635101746789","0.11367592277052","-0.00292003387225534","0.237464747793657","0.800408543755172","-4.89315388919083","0.114367428110166","-0.00293419366819217","0.237076221250846","0.801993980175628"
"data","Glycine","max","20","3","-1.61798198269928","0.152390446006741","-0.00321947504008846","0.0870366065654489","0.831143760756554","-5.94331884329334","0.153271823224041","-0.00323183751353322","0.0876280066795237","0.828381246329082"
"data","Glycine","max","25","1","-1.11426849293714","0.12581257334601","-0.00294721527052673","0.32917770452638","0.53664327395354","-5.19680830760763","0.128217093333628","-0.0029986410742647","0.335559813255715","0.532815062966983"
"data","Glycine","max","30","1","-0.492327011308818","0.0649998414552464","-0.00157665020056437","0.155449384530527","0.655908667879561","-5.43825970530948","0.0658293848626715","-0.00159081032098835","0.158071746007354","0.647242179032865"
"data","Glycine","max","30","2","-1.47478994837934","0.160212223154566","-0.00224550894945682","0.0685558080224275","0.34854244089632","-6.65377368144172","0.161110838122438","-0.00225790731183403","0.0680862817104602","0.361554824897552"
"data","Glycine","max","30","3","-4.21078286869529","0.339513812257886","-0.00500380268671675","0.218991488163924","0.817682703525784","-9.16505192503045","0.339117521403907","-0.00499845447453087","0.217949274565523","0.818790268092405"
"data","Glycine","max","30","4","-1.038907536535","0.0553806903396635","-0.000675499613948695","0.076508790529037","0.588089191831312","-5.90569982599049","0.0577365166464788","-0.000712985965575078","0.0775857000205317","0.591951409567158"
"data","Glycine","max","30","5","0.4122419265577","0.0430466957890606","-0.000960948849187624","0.0425901760317684","0.901520580844735","-4.75526960752369","0.0432545087865079","-0.000963460507656637","0.0422139861402131","0.902718001200926"
"data","Glycine","max","30","6","-0.392991921229669","0.101899280487638","-0.00213403690570445","0.0374169570867223","0.980955132320485","-5.36682440534827","0.10286618321676","-0.00215132385604593","0.0391432214443029","0.979364373023605"
"data","Glycine","max","35","1","1.41405354505249","-0.167750138213842","0.0031137275347392","0.108332379805047","0.815126035509784","-2.96687338590354","-0.165927579776992","0.00308588963175446","0.10546157737654","0.822772594579073"
"data","Pinus","nigra","15","2","-3.76001404136124","0.295575372196519","-0.00562262179892865","0.36468303733973","0.550066959529039","-8.35784252043251","0.298702353402602","-0.00568215698689253","0.370926844468165","0.545576589106712"
"data","Pinus","nigra","15","3","-5.88720918585407","0.433018629218491","-0.00841135467929974","0.151061696779893","0.877899385792107","-10.3200285939228","0.432287238797253","-0.00841787490389424","0.154267278655323","0.874413341667577"
"data","Pinus","nigra","20","1","-1.54925004223509","0.0646056118381847","-0.00145420943443612","0.23262380405782","0.19945296022228","-5.8875544521318","0.0653115493402333","-0.00145892232292337","0.22498549038462","0.217843593517762"
